1.195 1.4273 0.60109 1.1944 0.41357 1.6725 1.0074 1.9054 -1.3755 -0.53916
-0.11413 1.3182 0.42461 0.94106 0.69101 1.3259 0.15227 1.703 -1.2483 -0.33182
-0.31364 2.3364 0.18636 2.2182 0.31364 2.7455 -0.18636 2.8636 -1.3755 -0.47553
0.92273 2.0364 0.40455 2.1909 0.56818 2.7455 1.0864 2.5909 -1.3483 -0.48462
1.5495 1.8727 1.0746 1.9914 1.2084 2.5263 1.6832 2.4076 -1.3573 -0.48462
-0.63231 1.3182 -0.13015 1.1865 0.0045455 1.7 -0.49761 1.8317 -1.3573 -0.48462
-0.0046355 1.1568 0.48587 1.0364 0.61579 1.5653 0.12529 1.6858 -1.3755 -0.48462
-1.4926 1.8679 -1.1232 1.5364 -0.81699 1.8776 -1.1864 2.2091 -1.321 -0.42098
-0.3644 2.3568 -0.69595 2.0545 -1.0088 2.3977 -0.67727 2.7 -1.3483 -0.42098
0.41793 1.7502 0.067688 1.4 -0.27297 1.7407 0.077273 2.0909 -1.4301 -0.45734
0.17002 2.1434 0.51314 1.8455 0.83858 2.2202 0.49545 2.5182 -1.3573 -0.43007
0.65909 1.5545 0.087896 1.1975 -0.27727 1.7818 0.29392 2.1388 -1.3483 -0.45734
-2.2136 3.6455 -1.8864 3.3455 -1.5318 3.7364 -1.8591 4.0364 -1.3846 -0.5028
-1.7596 3.2909 -1.3544 2.9848 -1.0682 3.3636 -1.4733 3.6698 -1.4028 -0.47553
-0.46818 2.8 -0.88083 2.4143 -1.2414 2.8 -0.82876 3.1857 -1.4119 -0.45734
0.036364 2.2455 -0.35008 1.8854 -0.66868 2.2273 -0.28223 2.5874 -1.4119 -0.44825
0.52148 1.6618 0.073778 1.3286 -0.26589 1.785 0.18182 2.1182 -1.3483 -0.42098
-0.48626 3.532 0.013143 3.2545 0.22884 3.6428 -0.27056 3.9202 -1.5483 -0.59371
-0.22142 4.1353 0.29496 3.8364 0.5482 4.2738 0.031818 4.5727 -1.5483 -0.58462
0.0096305 4.6878 0.54042 4.4091 0.81412 4.9304 0.28333 5.2091 -1.6028 -0.58462
0.36727 5.3625 0.90792 5.0415 1.1586 5.4636 0.61795 5.7846 -1.521 -0.61189
1.6957 4.3735 2.195 4.0545 2.4674 4.481 1.9682 4.8 -1.1846 -0.59371
1.2289 3.7843 1.6859 3.4273 2.0888 3.943 1.6318 4.3 -1.3846 -0.59371
0.62697 3.5027 1.0768 3.1455 1.3634 3.5064 0.91364 3.8636 -1.521 -0.58462
0.54593 2.5746 1.0299 2.2745 1.3106 2.7273 0.82664 3.0273 -1.5483 -0.58462
0.0012459 2.0905 0.45194 1.7812 0.77039 2.2452 0.3197 2.5545 -1.521 -0.55734
-0.28856 1.2904 0.16098 0.999 0.4147 1.3904 -0.034849 1.6818 -1.4392 -0.51189
0.45392 2.0365 0.82621 1.7728 1.0867 2.145 0.71444 2.4087 -1.2773 -0.28636
0.050623 1.9279 -0.41061 1.8545 -0.48387 2.3151 -0.02264 2.3884 -1.15 -0.3
1.1894 2.0182 0.65332 2.179 0.80342 2.6793 1.3395 2.5185 -1.2591 -0.24091
0.3197 1.0364 -0.22607 1.0463 -0.21667 1.5636 0.3291 1.5537 -1.3773 -0.54091
-0.76818 1.5091 -0.33182 1.2 -0.086364 1.5455 -0.52273 1.8545 -1.4227 -0.61364
2.3773 2.6545 1.7409 2.4273 1.5227 3.0455 2.1591 3.2727 -1.2 -0.3
-1.5227 2.4818 -1.05 2.6273 -1.2045 3.1364 -1.6773 2.9909 -1.4864 -0.76818
1.5955 2.4636 0.99545 2.6182 1.1591 3.2455 1.7591 3.0909 -1.3591 -0.45909
1.8409 2.8182 1.4045 2.9273 1.5409 3.4545 1.9773 3.3455 -1.5682 -0.65
2.1409 2.4818 1.7318 2.6364 1.9136 3.1091 2.3227 2.9545 -1.5318 -0.65
-1.9516 2.4091 -1.657 2.2104 -1.3621 2.6364 -1.6567 2.835 -1.6682 -1.15
1.3955 3.0727 0.64091 3.1091 0.67727 3.8273 1.4318 3.7909 -1.3227 -0.48636
-0.3811 1.4521 0.028788 1.4364 0.052092 2.0423 -0.35779 2.0581 -1.4136 -0.56818
-0.40096 1.6459 -0.81667 1.4727 -1.0475 2.0268 -0.63182 2.2 -1.4409 -0.57727
1.0136 1.9364 0.52638 1.8695 0.45756 2.3807 0.94481 2.4476 -1.4955 -0.56818
0.40455 2.3455 0.0045455 2.2545 -0.10455 2.7545 0.29545 2.8455 -1.45 -0.56818
0.28333 1.9 0.73284 1.5322 1.0561 1.9273 0.60656 2.295 -1.3773 -0.56818
-0.0045455 1.3545 0.44091 1.1455 0.67727 1.6545 0.23182 1.8636 -1.2682 -0.39545
1.5833 1.9364 1.1203 1.722 0.88256 2.2285 1.3456 2.4428 -1.2409 -0.42273
0.30455 1.9864 -0.16818 1.5682 -0.53182 1.9773 -0.059091 2.3955 -1.2 -0.3
0.6304 1.9144 -0.00025546 1.6851 -0.2003 2.2477 0.43036 2.477 -1.0045 -0.068182
-0.18939 1.5455 0.48794 1.4003 0.61061 1.9727 -0.066734 2.1179 -1.2 -0.077273
-1.85 4.6455 -2.4136 4.2909 -2.75 4.8273 -2.1864 5.1818 -0.95909 -0.077273
-0.34783 1.4663 -0.81364 1.0364 -1.1555 1.4102 -0.68966 1.8402 -1.4045 -0.35
1.1136 1.0545 0.68652 0.75305 0.31511 1.273 0.74222 1.5745 -1.1955 -0.25
